id,Titel,Body,Kategorie,Datum,Quelle
1,China smartphone maker Vivo says to suspend all cooperation with NBA,"Chinese smartphone maker Vivo said on Tuesday it will suspend all cooperation with the National Basketball Association (NBA), joining a series of Chinese firms cutting ties with the league following a tweet by a Houston Rockets executive supporting Hong Kong’s protesters.  Vivo, in a statement published on social media platform Weibo, said it is strongly dissatisfied with Rockets General Manager Daryl Morey’s comments on Hong Kong and the NBA’s stance on the matter.  Vivo was a key sponsor for the upcoming exhibition games to be played in Shanghai and Shenzhen later this week by the Los Angeles Lakers and the Brooklyn Nets.  ",Weltnachrichten,2019-10-08 00:00:00,Reuters
2,China row threatens to upstage league's return to Japan,"The NBA returned to Japan for the first time in 16 years on Tuesday, with pre season action between the Houston Rockets and the Toronto Raptors - but it was the league’s growing crisis in neighboring China that demanded much of the attention. NBA commissioner Adam Silver opened a pre-game news conference talking about the future of basketball in Japan before being peppered with questions about the uproar over a tweet by the Rockets’ general manager in support of pro-democracy protests in Hong Kong. General manager Daryl Morey apologised on Monday for any hurt caused by the tweet, which he deleted over the weekend after drawing swift condemnation from China’s government, fans and the team’s partners. But the damage was already done, with Houston losing sponsors and broadcasts in a key market for the National Basketball Association.  In the latest fallout, Chinese state television said on Tuesday it would not air NBA exhibition games played in the country this week. Silver said he had issued an additional statement on the China row on Tuesday in part because of CCTV’s announcement that it would no longer be airing the preseason games between the Los Angeles Lakers and the Brooklyn Nets. “It’s not something we expected to happen. It’s unfortunate,” Silver said of CCTV’s decision. “But if that’s the consequences of us adhering to our values, we still feel it’s critically important to adhere to those values,” he said, stressing the NBA’s commitment to freedom of expression for its employees. FILE PHOTO: People enter a flagship NBA store at the Wangfujing shopping street in Beijing, China October 8, 2019. REUTERS/Tingshu WangSilver said he would travel to Shanghai as planned on Wednesday and attend the Lakers-Nets game on Thursday night. “It’s my hope when I’m in Shanghai, I can meet with the appropriate officials and discuss where we stand and can put those remarks from Daryl Morey in an appropriate context,” he said. Rockets star James Harden brushed off the situation. “It’s not a distraction. We’re focusing on our team and getting better. We have a great opportunity ahead of us and honestly we’re focused on every single day,” he told a post-game news conference. “Our sole focus is on the Rockets.” But Houston head coach Mike D’Antoni had a much testier response for a reporter after the game, in which the Raptors beat the Rockets 134-129. “I know you have your job to do and ask questions. I’m here to play basketball and coach basketball. That’s what we did tonight. And that’s what we will comment on,” he said. “And if we don’t have any more questions we’re good.” FILE PHOTO: Men walk past a poster at an NBA exhibition in Beijing, China October 8, 2019. REUTERS/Jason LeeIn the United States, several lawmakers took to social media to side with the protesters in Hong Kong. “The people of Hong Kong have risked much more than money to defend their freedom of expression, human rights, and autonomy,” tweeted Senate Majority Leader Mitch McConnell. “I hope the @NBA can learn from that courage and not abandon those values for the sake of their bottom line.” ",Weltnachrichten,2019-10-08 00:00:00,Reuters
3,Chinese state media slams basketball's NBA in free speech row,"Chinese state media on Wednesday accused the National Basketball Association (NBA) of endorsing violence and peddling a “secessionist pipe dream” in an escalating row over comments by a team official in support of protests in Hong Kong.  The tweet sent over the weekend by Houston Rockets general manager Daryl Morey has angered fans and authorities in China, threatening a business said to be worth more than $4 billion in a country where about 500 million fans consume NBA content.   Morey deleted the tweet backing the Hong Kong protests and apologised on Monday, but Chinese broadcasters, sportswear companies and sponsors have said they are reviewing their ties with the NBA, which has had a presence in China since 1992.  The NBA initially described the anger over Morey’s post as “regrettable,” drawing criticism from U.S. politicians who accused the league of putting its China business ahead of free speech. But league commissioner Adam Silver, speaking Tuesday in Japan before a preseason game between the Rockets and Toronto Raptors, said it was not up to the league to regulate what players, employees and team owners said. On Wednesday, an editorial in the official English-language China Daily accused Silver of “brazenly endorsing Morey’s secessionist-supporting tweet” and giving “a shot to the arms of the rioters of Hong Kong.” “If Silver thinks endorsing the indiscriminate violence the radical Hong Kong protesters are resorting to ... is supporting freedom of expression, then he should think again,” it said. Verwandte ThemenChina row threatens to upstage league's return to JapanChina smartphone maker Vivo says to suspend all cooperation with NBASee more stories The protests were “a bid to liberate the city” and “a secessionist pipe-dream” peddled by demonstrators “to justify their summer hooliganism,” the newspaper added. The protests were sparked by opposition to a law allowing extradition to mainland China, but have since evolved into broader calls for democracy. None of the protesters’ five demands is secession or independence.  The basketball furore also comes against the backdrop of the U.S.-China trade war, which escalated after Washington imposed visa restrictions on Chinese officials on Tuesday. The Global Times, a Chinese tabloid published by the ruling Communist Party’s People’s Daily newspaper, accused Silver of caving in to political pressure, saying the NBA was treating the Chinese market with arrogant disregard. “Tweeting something offensive to the Chinese people before a series of NBA promotional activities in China only shows a lack of intellect, respect, and responsibility,” it said. In a separate report, the newspaper also said that some Chinese internet users had made “disrespectful comments” about the Sept. 11, 2001, attacks on the World Trade Center in New York and the Pentagon in Washington, D.C.  “(It) should remind Western media that for Chinese people, the Hong Kong riots are just like the 9/11, which is horrible and can’t be justified,” the Global Times said. NBA Commissioner Adam Silver speaks during a news conference before the NBA preseason basketball game between Houston Rockets and Toronto Raptors at Saitama Super Arena in Saitama, Japan October 8, 2019,  in this photo taken by Kyodo.  Mandatory credit Kyodo/via REUTERS No one has been killed in several months of protests in Hong Kong, although scores - mostly protesters and journalists - have been hurt. The Sept. 11, 2001, attacks killed 2,996 people and led to the U.S. invasion of Afghanistan. EVENTS CANCELLED Basketball is the most popular sport in China, with about 300 million people playing the game. The NBA has deals with TV and digital media outlets across the country, and teams have played exhibition games annually since 2014. NBA China, launched in 2008 to run the league’s business, is now worth more than $4 billion, according to Forbes. The fallout from the Morey’s tweet continued on Wednesday. The NBA had planned to stage media events in Shanghai this week ahead of a preseason exhibition game between the Brooklyn Nets and the Los Angeles Lakers on Thursday. Organisers cancelled an event at a Shanghai school on Tuesday afternoon, as well as an open training session with the Brooklyn Nets on Wednesday, though a “fans’ night” was still on despite a boycott by Chinese celebrities.             State television has already halted plans to air exhibition games played in China this week, saying a country’s sovereignty and social stability were “not within the scope of freedom of speech.” China has accused the West of stirring up anti-Beijing sentiment in Hong Kong. Slideshow (4 Images)Chinese online travel agency Ctrip (CTRP.O) said late on Tuesday it had stopped sales of tickets to NBA games as well as NBA-related tour packages, joining a growing list of companies severing ties with the league. “Ctrip firmly opposes any speech that challenges national sovereignty and social stability,” it said on the social media platform Weibo, adding that it would suspend cooperation with the NBA. ",Top-Nachrichten,2019-10-09 00:00:00,Reuters
4,NBA fans in China seek refund from Tencent as streaming suspended,"Some Chinese National Basketball Association (NBA) fans have asked for streaming subscription refunds from exclusive service provider Tencent amid a deepening free speech row, a move that could cause the tech giant financial pain. Tencent Holdings renewed its exclusive digital partnership with the NBA in July, securing rights to stream U.S. games in China, a market with an estimated 500 million fans. But the Chinese social media giant behind the ubiquitous app WeChat may now become a corporate casualty of the deepening row sparked by Houston Rockets general manager Daryl Morey, who expressed support for Hong Kong protests in a tweet over the weekend. That prompted a furore in mainland China, and local sponsors of the games have pulled out. Tencent halted broadcasting games involving the Rockets over the weekend and later said it would stop broadcasting the entire preseason after NBA commissioner Adam Silver voiced his support for Morey’s “freedom of political expression” on Tuesday. It said users subscribing to the Rockets games can switch to feeds from other NBA teams or apply for a refund. Refunds have become a hot topic online with more than 3 million views on Twitter-like Weibo social media platform on Wednesday. Some users claimed they had received automatic refunds ranging from 20 yuan to 264 yuan ($2.80-$37), depending on what packages they subscribe to. Tencent declined to comment on refunds. The Houston Rockets became the most popular NBA team in China after drafting Chinese player Yao Ming with the first overall pick in the 2002 draft. He became a star and helped build the NBA’s following in China. FILE PHOTO: Tencent company name is displayed at a news conference in Hong Kong, China March 17, 2016.  REUTERS/Bobby Yip/File PhotoTencent extended its NBA partnership through 2024-25 season in July, according to an NBA statement. The value of the deal was not disclosed, but Chinese sports news portal Lanxiong Sports reported it was worth about $1.5 billion.  Nearly 500 million people watched last season’s NBA games on Tencent’s video platform, up threefold since the 2014-15 season, Tencent said in July. Tencent isn’t the only company distancing itself from business dealings with the NBA. Chinese Smartphone maker Vivo, state-run broadcaster CCTV and sportswear maker ANTA Sports Products Ltd (2020.HK) all halted cooperation with the NBA on Monday.  ",Top-Nachrichten,2019-10-09 00:00:00,Reuters
5,Shanghai Sports Federation says NBA fan event in city canceled,"The Shanghai Sports Federation said on Wednesday that a National Basketball Association (NBA) fan event scheduled later in the day in the city has been canceled, the latest setback for the U.S. league in a key market.  Chinese sponsors and partners have been cutting ties with the league following a tweet by Houston Rockets general manager Daryl Morey last week supporting the protests in Hong Kong. NBA Commissioner Adam Silver said on Tuesday the league supports Morey’s right to exercise his freedom of expression, further angering China.  The Shanghai federation, in a statement published on Chinese social media platform Weibo, said the cancellation of Wednesday’s fan event was due to the inappropriate attitude of Morey and Silver.      ",Top-Nachrichten,2019-10-09 00:00:00,Reuters
6,"Factbox: Fans, U.S. politicians, others react to NBA's China controversy","The National Basketball Association (NBA) took heavy fire on Monday for saying a weekend tweet by Houston Rockets General Manager Daryl Morey, which supported Hong Kong protests for democracy, was “regrettable” and “inappropriate.” FILE PHOTO: Senator Ted Cruz (R-TX) arrives for a vote on Capitol Hill in Washington, U.S., September 17, 2019. REUTERS/Joshua RobertsHere is some of the reaction from both sides of the flap: - “As a lifelong @HoustonRockets fan, I was proud to see @dmorey call out the Chinese Communist Party’s repressive treatment of protesters in Hong Kong. Now, in pursuit of $$, the @NBA is shamefully retreating.” - Republican U.S. Senator Ted Cruz of Texas, on Twitter. - “We must put human rights above profit. And that means standing with #HongKong. The NBA’s refusal to denounce Communist China is shameful. I’m requesting a meeting with @NBA Commissioner Silver to discuss the importance of supporting the brave individuals fighting for freedom.” - Republican U.S. Senator Rick Scott of Florida, on Twitter. - “Um, yeah, we apologize, you know. You know, we love China, we love playing there. ... They show us the most support and love, so, you know, we appreciate them as a fan base, and we love everything, you know, they’re about and we appreciate the support they give us, individually and as an organization, so ... we love you.” - Houston Rockets guard James Harden, in a Reuters TV interview.     - “I watched the Rockets for 21 years, but I’m still a Chinese person first and foremost.” - one social media user. - “The NBA wants money, and the Communist Party of China is asking them to deny the most basic of human rights. In response, the NBA issued a statement saying money is the most important thing.” - Republican U.S. Senator Ben Sasse of Nebraska, in a statement.  - “The one thing that is terribly misunderstood, and often ignored, by the western press and those critical of China, is that 1.4 billion Chinese citizens stand united when it comes to the territorial integrity of China and the country’s sovereignty over her homeland. This issue is non-negotiable. ... I don’t know Daryl personally. I am sure he’s a fine NBA general manager, and I will take at face value his subsequent apology that he was not as well informed as he should have been. But the hurt this incident has caused will take a long time to repair.” - Joseph Tsai, owner of the Brooklyn Nets NBA team and co-founder of Chinese e-commerce giant Alibaba Group Holding Ltd, on his personal Facebook page. - “And the #NBA, which (correctly) has no problem with players/employees criticizing our gov’t, is now apologizing for criticizing the Chinese gov’t. This is shameful and cannot stand.” - Democratic U.S. Representative Tom Malinowski of New Jersey, on Twitter, referring to the league’s policy of not imposing fines on NBA players protesting deadly police shootings in the United States.  - “China is using its economic power to silence critics—even those in the U.S. “The United States must lead with our values and speak out for pro-democracy protestors in Hong Kong, and not allow American citizens to be bullied by an authoritarian government.” - Julian Castro, Democratic presidential contender and former U.S. housing secretary. - Morey “has the right to express his values, and Chinese fans of the Houston Rockets have the right to abandon this team. If the Rockets want to keep its Chinese market, the team need to avoid offending Chinese public.” - Hu Xijin, editor of the state-controlled Global Times newspaper, in a tweet. - “Chinese govt has a million people locked in concentration camps & is trying to brutally repress Hong Kong demonstrators - and NBA wants to ‘bridge cultural divides’? Cultural divides?” - Republican U.S. Senator Josh Hawley of Missouri, referring to allegations of human rights abuses in China. - “We want to express our indignation and strong condemnation. We have already stopped our cooperation with the Houston Rockets, and continue to urge them to give a clear answer on this matter.” - Chinese sportswear brand Li-Ning, on the Twitter-like Weibo platform. - “This is bigger than just the @NBA. It’s about #China’s growing ability to restrict freedom of expression here in the U.S.  “TV networks,airlines,hotel chains,retailers & Hollywood already self censor. “Now private citizens risk losing their jobs if they offend China.” - Republican U.S. Senator Marco Rubio of Florida, in a tweet. Slideshow (5 Images)- “No one should implement a gag rule on Americans speaking out for freedom.” - Democratic U.S. Senator Chuck Schumer of New York, in a tweet. - “SPD Bank Credit Card Center expresses strong protest and opposition to the wrong remarks made by Houston Rockets’ General Manager Daryl Morey.” - statement on the Chinese bank’s Weibo account in which it said it had suspended related marketing activities and publicity. - “I’m hurting for them (the Rockets) today ... because (retired star Rockets player) Yao Ming is the biggest reason that NBA today is as popular as it is in China. And Yao and others, and the Rockets in particular, have probably done more to promote the game of basketball than any other team.” - Golden State Warriors President and Chief Operating Officer Rick Welts, in an interview on CNBC, who predicted a bright future for the NBA in China. Compiled by Jonathan Oatis; ",Weltnachrichten,2019-10-07 00:00:00,Reuters
7,China TV drops NBA exhibition games; league defends free speech,"Chinese state television said on Tuesday it would not air NBA exhibition games played in the country this week, heaping pressure on the U.S. basketball league after a tweet by a Houston Rockets executive backing protests in Hong Kong.  Rockets general manager Daryl Morey apologised on Monday for any hurt caused by the tweet, which he quickly deleted over the weekend. But China’s government, fans and the team’s partners were not mollified, resulting in loss of sponsors and broadcasts in the world’s second-largest economy and an important National Basketball Association (NBA) market.  However, NBA Commissioner Adam Silver spoke up for freedom of speech saying it was not up to the NBA to regulate what players, employees and team owners said, nor to adjudicate differences between people around the world. CCTV state television said it strongly opposed Silver’s support of Morey.  Any comments that challenged a country’s sovereignty and social stability were “not within the scope of freedom of speech”, CCTV said, adding it was reviewing its relationship with the NBA. Months of anti-government protests in Chinese-ruled Hong Kong have angered Beijing, which has accused Western governments of stirring up anti-China sentiment. China rejects outside intervention in Hong Kong as interference. Chinese smartphone maker Vivo, a key sponsor for the exhibition games in China, announced on Tuesday it was suspending all ties with the NBA, underscoring the strength of the backlash in the country. Chinese sportswear maker ANTA Sports Products Ltd, which has endorsement contracts with several NBA players including Golden State Warriors guard Klay Thompson and Boston Celtics forward Gordon Hayward, also said on Tuesday it was halting contract renewal negotiations with the league. UNDER FIRE AT HOME The NBA had earlier issued a statement saying it regretted Morey’s remarks, drawing criticism from U.S. lawmakers. But Silver, in Japan for an exhibition game, defended Morey’s right to express his opinions. “It is inevitable that people around the world – including from America and China – will have different viewpoints over different issues,” Silver said in a statement. “It is not the role of the NBA to adjudicate those differences.” Silver later told a news conference in Japan, where he is attending an exhibition game, that the NBA was not apologising for Morey “expressing his freedom of expression”. Verwandte ThemenChina row threatens to upstage league's return to JapanChina smartphone maker Vivo says to suspend all cooperation with NBASee more stories “I regret, having communicated directly with many friends in China, that so many people are upset, including millions and millions of our fans,” Silver said. The league has worked for years to cultivate the Chinese market and regularly plays exhibition games there. Its top stars, including Rockets guard James Harden, frequently visit to meet fans and take part in promotions with sponsors. “As a league we are not willing to compromise those values,” Silver said, referring to freedom of expression. “I’m sympathetic to our interests here and to our partners who are upset. I don’t think it’s inconsistent on one hand to be sympathetic to them and at the same time stand by our principles.” Silver said the league also supported Brooklyn Nets owner and Alibaba Group co-founder Joseph Tsai, who issued a lengthy statement criticising Morey’s tweet. CHINA ‘VERY CLEAR’ Chinese foreign ministry spokesman Geng Shuang referred to criticism of Morey’s comment by the Chinese Basketball Association, which he said made China’s position “very clear”. “I suggest they pay attention to the reaction of the ordinary Chinese people,” Geng told a regular briefing. Exchanges and cooperation would not work if people failed to understand public opinion and China would take “firm and powerful measures to resolutely safeguard national sovereignty and security”, he said. The NBA’s regular season, to which CCTV owns the exclusive Chinese broadcast rights, begins this month.  Tech giant Tencent Holdings has exclusive internet streaming rights in China, which media reports have said are worth about $1.58 billion. It has said it would temporarily stop showing Rockets games. The decision heaps pressure on the league, which faces criticism on multiple fronts about its handling of the controversy. Its apology on Sunday had disappointed some who see the league as the most progressive of the U.S. sports organizations. Silver has in the past urged players to speak out on issues of concern at home, including questions of police brutality and gun violence. Tencent said in July that 490 million Chinese fans watched NBA programming on its platforms last season, up threefold since the 2014-2015 season.   A pre-season game between the Nets and the Los Angeles Lakers is set for Thursday in Shanghai, with a rematch scheduled for Saturday in Shenzhen. However, organisers abruptly cancelled a Tuesday media event without explanation.  FILE PHOTO: Basketball - NBA Global Games - New Orleans Pelicans v Houston Rockets - Pre-match news conference - Beijing, China - 12/10/16. NBA Commissioner Adam Silver attends the pre-match news conference. REUTERS/Thomas PeterSeveral Chinese celebrities announced they would not attend an NBA-organised “fans’ night” on Wednesday. “The motherland always stands above everything,” actor and singer Evan Li said in a statement. ",Weltnachrichten,2019-10-08 00:00:00,Reuters
8,China's ANTA sports says it will immediately halt contract renewal negotiations NBA,"China’s ANTA Sports Products Ltd (2020.HK) said on Tuesday it will halt contract renewal negotiations with the National Basketball Association (NBA), adding to the list of Chinese firms cutting ties with the league.  Chinese sponsors have been severing ties with U.S. basketball league following a tweet by Houston Rockets general manager Daryl Morey supporting the protesters in Hong Kong, which he quickly deleted over the weekend.     Anta said in a statement on social media platform Weibo the company opposes any action that harms China’s interests and was dissatisfied with the comments by the Houston Rockets and NBA executives. The company did not provide details on the nature of the contract that was being negotiated.  Anta has endorsement contracts with several NBA athletes including as Golden State Warriors guard Klay Thompson and Boston Celtics forward Gordon Hayward.  ",Weltnachrichten,2019-10-08 00:00:00,Reuters
9,"NBA stirs U.S. hornet's nest, faces China backlash over Hong Kong tweet","An increasing number of U.S. lawmakers voiced anger on Monday over the NBA’s response to a Houston Rockets official’s tweet backing Hong Kong democracy protests, raising U.S.-China tensions as talks to end a 15-month trade war resumed.  The National Basketball Association, which has built a huge following and burgeoning business in China, said in a statement it regretted the remarks by Houston Rockets General Manager Daryl Morey. A Chinese-language version seemed to go further, with the league saying it was “extremely disappointed” in Morey’s “inappropriate” remarks. That prompted a torrent of criticism in U.S. political circles, with a number of U.S. senators excoriating the league for what they saw as a willingness to allow China to censor free speech and trample other American values for the sake of profit. “The NBA wants money, and the Communist Party of China is asking them to deny the most basic of human rights,” Senator Ben Sasse of Nebraska said in a statement. “In response, the NBA issued a statement saying money is the most important thing.” Senator Ted Cruz of Texas, a self-described lifelong Rockets fan, wrote in a tweet on Sunday that he had been proud to see Morey “call out the Chinese Communist Party’s repressive treatment of protesters in Hong Kong.” “No one should implement a gag rule on Americans speaking out for freedom,” Democratic Senator Chuck Schumer wrote in a tweet. Other legislators accused the NBA, no stranger to U.S. politics, of a double standard when it comes to China. NBA stars and some coaches have been outspoken in their criticism of U.S. President Donald Trump, and NBA Commissioner Adam Silver has urged players to speak out on issues of concern, including alleged police brutality and gun violence.  Verwandte ThemenChina row threatens to upstage league's return to JapanChina smartphone maker Vivo says to suspend all cooperation with NBASee more stories Police in Hong Kong have used rubber bullets, tear gas and water cannons against pro-democracy demonstrators in the former British colony, which has been plunged into its worst political crisis in decades. The Rockets’ Morey, who was named NBA executive of the year in 2018, tweeted his support for the protests over the weekend. His initial tweet, which he swiftly deleted, included an image captioned: “Fight For Freedom. Stand With Hong Kong.”  Morey apologized on Monday.  “I did not intend my tweet to cause any offense to Rockets fans and friends of mine in China,” he tweeted. “I was merely voicing one thought, based on one interpretation, of one complicated event,” he said, adding that he had since heard and considered other perspectives and noting that his tweets did not represent the Rockets or the NBA. ‘LONG TIME TO REPAIR’ Morey’s support for the democracy protests, now in a fourth month, angered Beijing, Chinese fans and the team’s partners in a key market. Some 300 million people play the game in China, NBA Deputy Commissioner Mark Tatum told Reuters this month.  NBA China, which conducts the league’s business in the country, was launched in 2008. It is now worth more than $4 billion, according to Forbes. Some Chinese fans called for a boycott of the Rockets, who are widely followed in China, partly because they drafted Chinese player Yao Ming in 2002. Yao became a star and helped build the NBA’s following there. An NBA logo is seen on the facade of its flagship store at the Wangfujing shopping street in Beijing, China October 8, 2019. REUTERS/Tingshu Wang“I watched the Rockets for 21 years, but I’m still a Chinese person first and foremost,” one social media user said.  The Chinese Basketball Association, chaired by Yao, said it was suspending “exchanges and cooperation” with the team. Sportswear brand Li-Ning and sponsor Shanghai Pudong Development Bank (SPD Bank) Credit Card Center suspended work with the Rockets, while the team’s games were dropped by Chinese state broadcaster CCTV’s sports channel. Chinese technology company Tencent also said it would temporarily stop streaming Rockets games. CCTV said Morey’s apology did not go far enough. Hu Xijin, the editor of the state-controlled Global Times newspaper, tweeted on Monday: “If the Rockets want to keep its Chinese market, the team need to avoid offending Chinese public.” Joseph Tsai, owner of the NBA’s Brooklyn Nets and co-founder of Chinese e-commerce giant Alibaba Group Holding Ltd (BABA.N), said the damage from Morey’s tweet “will take a long time to repair.” The NBA sought to contain the damage, saying in its statement that it recognized that Morey’s views had “deeply offended many of our friends and fans in China, which is regrettable.”   “We are extremely disappointed in the inappropriate remarks made by Houston Rockets General Manager Daryl Morey,” the league said in the Chinese-language version of its statement. The NBA added, “we have great respect for the history and culture of China and hope that sports and the NBA can be used as a unifying force to bridge cultural divides and bring people together”. TRADE TALKS The controversy over Morey’s initial tweet and the NBA’s handling of it arrived at a particularly delicate time in U.S.-China relations, which have soured as a result of the tit-for-tat tariffs imposed by the two sides on each other’s imports. Slideshow (5 Images)U.S. and Chinese deputy trade negotiators launched a new round of talks in Washington on Monday, with neither side showing signs of giving ground. The two days of negotiations are to be followed by the first minister-level trade talks in more than two months. The NBA is also the latest example of a major brand caught in controversy over the Hong Kong protests. Many Western fashion brands, including Spain’s Zara (ITX.MC), have been forced to clarify positions on Chinese sovereignty as the protests fuel nationalist fervor. Chinese internet users in August blacklisted bubble tea brands from Taiwan after a Hong Kong franchise urged solidarity with protesters. ",Weltnachrichten,2019-10-06 00:00:00,Reuters
10,Investors get lost in Big Oil's carbon accounting maze,"Wide variations in the way oil companies report their efforts to reduce carbon emissions make it difficult to assess the risk of holding their shares as the world shifts away from fossil fuels, senior fund managers say. Investors have poured money into so-called sustainable funds, which take into account companies’ environmental, social, legal and other standards, and funds are under pressure from their customers and authorities to make those standards robust. Fund managers are also applying environmental, social and governance (ESG) criteria more widely in traditional investments to help them judge how companies will fare over the long term. There is a growing realization that some companies’ profits will shrink faster than others as governments prioritize low-carbon energy to meet the U.N.-backed Paris agreement’s goal of cutting emissions to “net zero” by the end of the century. But oil and gas companies are among the biggest dividend payers, and major funds are reluctant to divest from them, arguing that by staying in they are in a better position to pressure companies to improve. “Do investors have the data that we need? No, I don’t think we have the data that we need at all,” said Nick Stansbury, investment strategist at British insurer Legal & General’s investment management unit, Britain’s biggest asset manager with around $1.3 trillion under management. “Disclosure is not necessarily so we can seek to change the numbers, but so we can start understanding and pricing the risks,” Stansbury said. “A THOUSAND WAYS TO PARIS” There are many voluntary initiatives and frameworks to unify carbon accounting and target setting; some overlap but none have been universally adopted. Further projects exist for other greenhouse gases such as methane. The Greenhouse Gas Protocol is one such set of standards, established by non-governmental organizations and industrial groups in the 1990s. Companies can report their progress in line with these standards through non-profit CDP, formerly known as the Carbon Disclosure Project, which then ranks them. Norway’s Equinor comes first in its list of 24 oil major companies, but not all of them report in every year. (GRAPHIC: Big oil ranking by the CDP - here.jpg)     There is also the Task Force on Climate related Financial Disclosures (TCFD), created by the G20’s Financial Stability Board, as well as industry bodies, in-house models at oil firms and banks and third-party verifiers and consultants. “There are a thousand ways to Paris,” London-based BP’s Chief Executive Bob Dudley said at a Chatham House event earlier this year referring to the 2015 accord aiming to keep global warming well below 2 degrees. BP Finance Chief Brian Gilvary told Reuters BP would welcome more consistency within the sector to show what oil companies are doing about emissions and that an industry body, the Oil and Gas Climate Initiative (OGCI), was discussing carbon accounting. A plethora of third party ESG verifier companies were emerging with varying ways of measuring ESG metrics, he said, adding that some such firms would say to an oil company, “We believe your score is this, and, by the way, if you spend $50,000 we’ll show you how you can improve that score.” UBS, with $831 billion of invested assets, has $2 billion in its Climate Aware passive equity strategy, which is in part based on a company’s emissions reporting. In that strategy “we tilt towards companies that are better performing on a range of climate metrics and away from companies that do not perform so well in this respect,” Francis Condon, executive director for sustainable investing, said. “We don’t want to be accused of greenwashing or falling for it,” he said, adding that UBS regularly encouraged companies to prepare for the climate transition. Using a broad measure, global sustainable investment reached $30.1 trillion across the world’s five major markets at the end of 2018, according to the Global Sustainable Investment Review. This equates to between a quarter and half of all assets under management, due to varying estimates of that figure. Condon said most investors were still more focused on returns than wider sustainability criteria but were becoming concerned that companies may expose them to possible future climate-related financial losses. “There is a very limited appetite for giving up performance for higher ESG. The question is more: is management taking on risks it can’t manage?” To try to answer that question, the world’s biggest financial service providers are investing in companies which provide ESG-related data. This year alone, Moody’s bought Vigeo Eiris and Four Twenty Seven, MSCI bought Carbon Delta and the London Stock Exchange bought Beyond Ratings. S&P acquired Trucost in 2016.  Independent climate risk advisors Engaged Tracking say they attracted two-thirds of their clients in the past year. All six companies provide data, assessments and consulting on the climate exposure of companies or bonds. HOW TO COUNT A central issue, discussed at European oil majors’ shareholder meetings this year, is how they deal with the emissions caused by the products they sell, such as gasoline or kerosene, which are known as Scope 3 emissions. (GRAPHIC: Oil Majors' Carbon emissions - here)     Such emissions are typically around six times larger than the combined emissions from oil companies’ direct operations and power supply, also known as Scope 1 and 2 emissions, according to Reuters calculations. Even if a company publishes Scope 3 data, there are 15 different categories based on the Greenhouse Gas Protocol. These include use of sold products such as fuel alongside secondary factors such as business travel or employee commuting. Constantine Pretenteris at Engaged Tracking said some companies achieved a high score for comprehensiveness by disclosing data for most of the Scope 3 categories, but left out the key ones, such as emissions from use of their fuel. “We would love to see a general standard which makes comparisons easy,” Sven Reinke of Moody’s said. “It doesn’t fully exist these days.” RELATIVE OR ABSOLUTE The majority of climate-related targets are based on intensity measures, which means absolute emissions can rise with growing production, even if the headline intensity metric falls. Total recorded Scope 3 emissions from the world’s top public oil companies are still rising, largely due to rising oil and gas output, according to Reuters calculations based on data carried on Refinitiv’s Eikon platform and company websites. They showed combined Scope 3 emissions recorded by BP, Royal Dutch Shell, Exxon Mobil, ConocoPhillips’, Chevron, Eni, Total, Equinor and Repsol rose around 1.6% over 2018, after a 1% similar rise the previous year. Individual figures vary according to the metrics a company chooses to include. Conoco said its Scope 3 emissions had fallen 5%, while the other companies’ individual recorded Scope 3 emissions either rose or stayed roughly the same. Asked for comment, BP and Chevron pointed to absolute targets related to their own operations. Total pointed to progress it had made towards lowering emissions intensity per unit produced. Shell and Repsol referred to their short-term intensity-based targets and Equinor said it could not take responsibility for emissions it does not control. U.S. firm Exxon did not reply to a request for comment. Eni had no immediate comment. Top oil companies have boosted investment in renewable energy and low-carbon technology in recent years, particularly in Europe, but much bigger sums are still going into developing oil and gas. “We cannot change the patterns of consumption around the world - we cannot make people fly less. We can reduce the carbon intensity of the products we sell,” Shell Chief Executive Ben van Beurden said in June. Mark Lewis from BNP Paribas and a member of TCFD, said overall cuts were what would count in the end. Repsol is currently the only major oil company to have set absolute reduction targets for all its output. “The Paris Agreement is all about a carbon budget and that’s an absolute number. It’s not an intensity number,” Lewis said. “The atmosphere works in terms of absolutes not intensity.” In the meantime, some investors are avoiding oil companies which others say should be supported for going further than many of their peers. London-based investment management firm Sarasin & Partners said in June it was selling down its stake in Shell because its spending plans were out of synch with international climate targets. Asked for comment, Shell pointed to comments from representatives of the pension funds of the Church of England and Britain’s government Environment agency, which praised the company’s transparency and said others should follow its lead. (GRAPHIC: European Carbon prices - here.jpg)     ",Top-Nachrichten,2019-10-09 00:00:00,Reuters
